#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
20240805_1_00035_0001.jpg,151459,{},1,0,"{""name"":""rect"",""x"":1307,""y"":303,""width"":85,""height"":73}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0002.jpg,119974,{},1,0,"{""name"":""rect"",""x"":977,""y"":471,""width"":183,""height"":162}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0003.jpg,282821,{},1,0,"{""name"":""rect"",""x"":799,""y"":537,""width"":93,""height"":129}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0005.jpg,218754,{},2,0,"{""name"":""rect"",""x"":936,""y"":514,""width"":90,""height"":109}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0005.jpg,218754,{},2,1,"{""name"":""rect"",""x"":1424,""y"":431,""width"":79,""height"":76}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0006.jpg,289080,{},2,0,"{""name"":""rect"",""x"":595,""y"":559,""width"":100,""height"":120}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0006.jpg,289080,{},2,1,"{""name"":""rect"",""x"":1388,""y"":398,""width"":112,""height"":91}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0009.jpg,83448,{},2,0,"{""name"":""rect"",""x"":427,""y"":613,""width"":99,""height"":114}","{""pecking"":""y"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0009.jpg,83448,{},2,1,"{""name"":""rect"",""x"":1592,""y"":419,""width"":96,""height"":94}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0010.jpg,45427,{},1,0,"{""name"":""rect"",""x"":1170,""y"":490,""width"":58,""height"":88}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0011.jpg,81365,{},1,0,"{""name"":""rect"",""x"":988,""y"":368,""width"":142,""height"":154}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0012.jpg,79113,{},1,0,"{""name"":""rect"",""x"":1011,""y"":389,""width"":163,""height"":175}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0013.jpg,70195,{},1,0,"{""name"":""rect"",""x"":788,""y"":267,""width"":118,""height"":108}","{""pecking"":""y"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0016.jpg,64036,{},2,0,"{""name"":""rect"",""x"":963,""y"":599,""width"":61,""height"":55}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0016.jpg,64036,{},2,1,"{""name"":""rect"",""x"":579,""y"":280,""width"":23,""height"":34}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0018.jpg,62348,{},3,0,"{""name"":""rect"",""x"":458,""y"":163,""width"":61,""height"":54}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0018.jpg,62348,{},3,1,"{""name"":""rect"",""x"":1009,""y"":343,""width"":63,""height"":55}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0018.jpg,62348,{},3,2,"{""name"":""rect"",""x"":1489,""y"":132,""width"":55,""height"":73}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0020.jpg,49958,{},2,0,"{""name"":""rect"",""x"":391,""y"":788,""width"":108,""height"":120}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
20240805_1_00035_0020.jpg,49958,{},2,1,"{""name"":""rect"",""x"":1450,""y"":302,""width"":67,""height"":64}","{""pecking"":""n"",""shade"":""y"",""blue"":""n""}"
